"id","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","AgreeablenessSum","OpennessSum","ExtraversionSum","ConscSum","NeuroSum","continent"
87,3,32,1,1,1,1,"ZA",2,1,4,2,5,2,5,4,4,2,3,3,4,3,4,4,2,2,4,3,2,4,2,4,1,5,1,5,4,4,3,4,3,4,2,4,3,2,3,4,4,2,5,1,4,1,4,4,5,5,32,35,31,32,32,"Africa"
88,13,29,2,2,2,1,"LS",4,3,3,1,2,1,1,2,5,5,2,5,1,5,1,1,2,1,1,1,1,2,1,4,2,2,1,3,4,3,3,1,5,2,3,2,3,2,2,5,4,3,3,3,5,2,4,1,5,5,23,35,27,28,20,"Africa"
89,3,49,1,2,1,5,"ZA",1,2,3,3,5,2,1,4,3,4,2,2,5,2,4,5,2,2,4,2,1,5,2,5,2,5,2,5,4,3,2,4,4,3,1,2,3,2,3,1,3,4,4,4,3,2,2,3,4,4,34,33,28,25,30,"Africa"
90,12,22,2,1,1,1,"BW",2,3,4,4,3,4,2,3,4,4,1,5,1,5,3,2,1,1,2,1,3,3,1,3,4,2,4,3,3,3,4,4,4,2,2,5,3,3,4,5,3,1,5,4,4,1,5,3,2,4,29,32,33,36,22,"Africa"
91,3,21,2,2,1,5,"ZA",2,2,5,4,3,2,1,5,2,4,3,3,4,3,3,3,2,1,3,2,1,5,1,5,1,5,1,5,5,4,3,3,5,1,2,4,2,1,2,4,4,2,3,1,3,1,4,2,3,4,33,27,30,27,27,"Africa"
92,6,27,1,2,1,1,"ZA",3,1,5,1,3,1,4,3,3,3,2,5,2,3,4,2,2,1,4,1,1,5,1,5,1,5,2,4,5,4,2,3,4,2,2,3,3,2,3,4,2,2,3,2,4,2,5,1,2,4,33,27,27,28,26,"Africa"
93,3,69,2,2,1,1,"ZA",2,2,4,3,4,2,3,3,3,3,3,3,5,3,4,3,2,2,3,3,1,5,1,5,2,5,1,5,5,5,3,4,5,4,4,3,5,1,3,5,5,1,5,1,5,1,5,5,5,5,35,38,29,37,31,"Africa"
94,4,15,1,2,1,2,"MU",4,1,2,3,3,3,3,4,1,5,2,5,4,3,3,2,2,2,5,2,2,5,2,3,2,3,2,3,3,5,4,3,4,2,3,2,4,2,4,4,3,2,4,2,3,2,4,1,5,4,30,30,29,32,30,"Africa"
95,5,25,2,2,1,1,"EG",2,3,4,2,4,4,4,2,4,4,3,4,5,3,2,3,4,3,2,1,1,4,1,4,2,5,2,1,4,3,5,5,4,2,4,4,5,1,5,1,3,3,4,2,4,1,4,4,3,4,27,32,33,36,30,"Africa"
96,12,20,2,2,1,1,"ZA",2,2,2,4,3,3,3,4,2,5,5,4,5,4,2,3,2,2,3,2,1,4,4,5,1,5,3,5,5,3,3,2,2,3,4,2,3,2,4,3,2,3,5,2,3,2,5,3,3,3,36,31,30,28,32,"Africa"
